destination,flights,mean_delay,median_delay,delayed_over_30_rate
HRL,52,24.384615384615383,10.5,0.3076923076923077
CRP,30,17.1,4.5,0.26666666666666666
BOI,70,15.914285714285715,0.0,0.14285714285714285
AMA,35,13.2,0.0,0.17142857142857143
SJC,274,12.383211678832117,1.0,0.17153284671532848
PHX,581,12.072289156626505,3.0,0.153184165232358
BUR,177,11.180790960451978,3.0,0.11864406779661017
SAN,296,11.121621621621621,3.0,0.16216216216216217
TUS,48,10.583333333333334,0.0,0.1875
TUL,95,10.51578947368421,0.0,0.1368421052631579
SAT,154,10.493506493506494,2.0,0.11688311688311688
SFO,41,10.463414634146341,3.0,0.17073170731707318
OMA,37,10.27027027027027,4.0,0.10810810810810811
LAS,679,10.256259204712814,2.0,0.14432989690721648
RNO,158,9.810126582278482,0.0,0.12025316455696203
ABQ,202,9.678217821782178,2.0,0.13366336633663367
BHM,94,9.46808510638298,0.0,0.1276595744680851
LAX,474,9.39240506329114,0.0,0.14135021097046413
ONT,226,9.15929203539823,2.0,0.12389380530973451
DTW,66,8.954545454545455,0.0,0.12121212121212122
SMF,218,8.784403669724771,2.0,0.12844036697247707
OKC,81,8.617283950617283,2.0,0.12345679012345678
JAX,70,8.542857142857143,0.0,0.11428571428571428
SLC,132,8.409090909090908,0.0,0.09848484848484848
PDX,122,8.327868852459016,0.0,0.13114754098360656
LIT,53,8.132075471698114,0.0,0.07547169811320754
STL,311,7.990353697749196,0.0,0.12861736334405144
OAK,418,7.988038277511961,1.5,0.11722488038277512
MCO,203,7.980295566502463,0.0,0.09852216748768473
ELP,163,7.674846625766871,1.0,0.10429447852760736
SEA,131,7.534351145038168,0.0,0.17557251908396945
CLE,75,7.44,0.0,0.08
AUS,155,7.432258064516129,2.0,0.09032258064516129
JAN,38,7.342105263157895,0.0,0.13157894736842105
MSY,217,7.336405529953917,0.0,0.11981566820276497
IND,80,7.225,0.0,0.075
TPA,193,7.2020725388601035,0.0,0.08808290155440414
GEG,73,7.191780821917808,-1.0,0.1232876712328767
FLL,113,7.150442477876106,0.0,0.09734513274336283
MCI,274,7.065693430656935,0.0,0.08394160583941605
SDF,88,7.0227272727272725,-1.0,0.10227272727272728
PBI,47,6.808510638297872,-3.0,0.0851063829787234
MDW,437,6.503432494279176,0.0,0.09382151029748284
SNA,48,6.416666666666667,2.5,0.08333333333333333
RDU,63,6.111111111111111,0.0,0.06349206349206349
HOU,568,6.054577464788732,0.0,0.07746478873239436
MHT,58,5.844827586206897,0.0,0.1206896551724138
DAL,495,5.733333333333333,0.0,0.08686868686868687
MAF,39,5.333333333333333,1.0,0.10256410256410256
BNA,331,5.078549848942598,0.0,0.08761329305135952
BDL,54,4.296296296296297,-2.0,0.037037037037037035
BWI,494,3.8360323886639676,-2.0,0.08502024291497975
PVD,91,3.1758241758241756,-1.0,0.07692307692307693
IAH,32,3.0625,-2.0,0.0625
LBB,57,1.368421052631579,-1.0,0.03508771929824561
ALB,33,1.303030303030303,-1.0,0.06060606060606061
CMH,46,-0.2391304347826087,-2.0,0.021739130434782608
ISP,65,-0.6923076923076923,-4.0,0.03076923076923077
BUF,45,-4.088888888888889,-5.0,0.022222222222222223
