date,delay,distance,origin,destination
2001-02-14 15:12:00,8,342,SJC,SNA
2001-01-22 09:50:00,-10,601,PHX,RNO
2001-01-17 10:59:00,4,181,DAL,OKC
2001-01-14 16:20:00,4,630,PDX,SLC
2001-03-14 10:50:00,-3,223,BUR,LAS
2001-02-09 07:00:00,0,928,TPA,AUS
2001-02-14 09:10:00,23,1751,BNA,SAN
2001-03-09 14:25:00,145,197,ONT,LAS
2001-03-31 17:10:00,0,223,TUL,MCI
2001-03-06 20:10:00,8,296,SJC,BUR
2001-01-21 10:35:00,0,224,GEG,SEA
2001-03-04 07:10:00,-6,803,BNA,ISP
2001-01-01 12:55:00,5,1751,ONT,BNA
2001-01-12 15:17:00,10,1588,LAS,BNA
2001-01-09 19:05:00,9,663,JAX,BWI
2001-02-28 15:21:00,19,296,DAL,LIT
2001-01-01 17:25:00,14,359,HOU,JAN
2001-03-11 10:40:00,-10,440,DTW,STL
2001-01-26 21:40:00,52,328,PHX,ABQ
2001-03-02 13:25:00,-15,677,ABQ,LAX
2001-02-05 16:35:00,0,580,DAL,ABQ
2001-01-08 19:25:00,-5,181,OKC,DAL
2001-03-04 10:30:00,-7,588,BNA,BWI
2001-01-03 18:40:00,-20,687,STL,HOU
2001-02-25 06:45:00,-3,178,MCO,FLL
2001-02-09 06:55:00,-4,187,CRP,HOU
2001-01-24 11:20:00,-7,457,DTW,BNA
2001-02-16 17:36:00,-5,588,BNA,BWI
2001-02-17 14:10:00,2,1166,MDW,FLL
2001-03-12 08:25:00,-10,872,PHX,AUS
2001-01-16 21:15:00,10,515,BWI,IND
2001-03-10 18:40:00,-7,293,DAL,LBB
2001-03-13 11:35:00,-10,397,LAS,SMF
2001-01-18 15:17:00,23,1044,PHX,MCI
2001-01-28 14:34:00,12,177,BNA,BHM
2001-02-28 10:50:00,63,325,ONT,PHX
2001-03-04 19:32:00,42,258,SAN,LAS
2001-03-17 07:00:00,-10,313,OKC,MCI
2001-03-31 14:35:00,-9,389,ONT,SMF
2001-03-25 07:55:00,-5,997,MDW,TPA
2001-03-31 11:30:00,0,342,STL,OMA
2001-01-03 16:45:00,63,872,PHX,AUS
2001-03-20 06:15:00,-7,838,MHT,MDW
2001-01-08 08:26:00,0,407,LAS,OAK
2001-03-19 12:55:00,2,872,PHX,AUS
2001-01-13 16:48:00,13,344,BOI,PDX
2001-01-24 19:18:00,10,223,LAS,BUR
2001-01-23 14:00:00,-5,869,STL,TPA
2001-02-15 15:09:00,27,308,SJC,LAX
2001-02-15 14:11:00,31,611,BWI,MDW
2001-01-11 19:20:00,-17,1246,BWI,HOU
2001-03-01 09:25:00,-3,682,BHM,BWI
2001-01-09 18:30:00,-13,972,SAT,TPA
2001-01-23 13:00:00,-3,276,HRL,HOU
2001-03-30 19:50:00,5,223,LAS,BUR
2001-02-05 10:20:00,3,192,SAT,HOU
2001-02-12 11:50:00,8,328,PVD,BWI
2001-02-20 17:20:00,-6,319,MAF,DAL
2001-03-21 06:45:00,-13,487,CLE,STL
2001-01-18 17:00:00,-5,511,BOI,OAK
2001-02-21 14:12:00,1,188,SJC,RNO
2001-03-26 10:18:00,20,308,SJC,LAX
2001-01-20 07:00:00,-9,370,PHX,LAX
2001-01-09 20:25:00,2,180,TPA,JAX
2001-01-01 17:19:00,8,520,LAS,BOI
2001-03-07 06:30:00,-5,189,AUS,DAL
2001-01-02 14:00:00,0,239,DAL,HOU
2001-02-15 13:55:00,135,276,HOU,HRL
2001-03-31 19:10:00,0,308,SJC,LAX
2001-02-23 06:45:00,0,192,SAT,HOU
2001-01-05 16:22:00,17,337,LAX,OAK
2001-01-23 16:15:00,5,361,OAK,ONT
2001-03-04 21:02:00,26,443,BNA,RDU
2001-03-22 09:25:00,-10,281,BWI,BUF
2001-03-18 21:37:00,11,440,STL,DTW
2001-03-02 08:17:00,7,178,FLL,MCO
2001-03-28 19:15:00,-13,328,BWI,PVD
2001-02-22 10:00:00,-7,229,DTW,MDW
2001-01-06 14:30:00,-5,447,SFO,SAN
2001-03-28 20:15:00,25,587,RDU,TPA
2001-03-13 15:50:00,13,440,STL,DTW
2001-01-23 18:50:00,-8,422,SLC,RNO
2001-01-02 12:25:00,27,373,LAX,SMF
2001-01-27 18:46:00,30,405,MCI,MDW
2001-03-06 19:27:00,17,493,ABQ,SLC
2001-01-03 12:29:00,43,1999,PHX,BWI
2001-02-06 08:20:00,-2,188,SJC,RNO
2001-01-25 16:05:00,12,663,JAX,BWI
2001-02-21 15:45:00,3,580,DAL,ABQ
2001-02-18 14:50:00,48,651,PHX,SFO
2001-03-03 15:10:00,-10,480,SAN,SMF
2001-01-21 16:05:00,-2,765,ISP,MDW
2001-01-15 11:50:00,0,371,OAK,SNA
2001-03-02 12:55:00,-5,271,MDW,SDF
2001-02-27 09:40:00,-3,328,BWI,PVD
2001-03-06 07:25:00,0,491,MCI,BNA
2001-03-09 16:38:00,3,189,DAL,AUS
2001-02-28 21:14:00,62,368,LAS,SLC
2001-03-18 15:48:00,61,308,SJC,LAX
2001-02-05 10:30:00,-2,588,BNA,BWI
2001-01-20 19:20:00,-22,1246,BWI,HOU
2001-03-02 14:40:00,2,248,DAL,SAT
2001-03-29 07:05:00,0,142,PBI,MCO
2001-01-21 18:12:00,21,223,ABQ,ELP
2001-01-20 16:14:00,0,833,PHX,OKC
2001-02-08 12:25:00,-10,325,PHX,ONT
2001-03-28 06:30:00,8,324,AMA,DAL
2001-01-07 19:55:00,-5,271,SDF,MDW
2001-03-04 12:00:00,-10,224,SEA,GEG
2001-02-21 18:00:00,-6,178,MCO,FLL
2001-03-25 13:39:00,9,307,MDW,CLE
2001-02-25 12:05:00,-10,293,LBB,DAL
2001-02-01 09:00:00,-2,370,PHX,LAX
2001-02-28 20:20:00,8,443,RDU,BNA
2001-02-26 19:30:00,-4,239,HOU,DAL
2001-03-08 17:00:00,11,677,ELP,HOU
2001-03-28 11:33:00,8,368,LAS,SLC
2001-02-10 10:49:00,20,361,ONT,OAK
2001-03-13 21:38:00,134,162,IND,MDW
2001-01-01 07:00:00,-3,588,SLC,OAK
2001-01-25 13:54:00,20,487,LAS,ABQ
2001-02-22 07:00:00,4,248,DAL,SAT
2001-03-15 06:35:00,-15,417,SAN,SJC
2001-03-26 06:30:00,-7,562,DAL,ELP
2001-01-07 10:35:00,-5,304,SAN,PHX
2001-03-22 08:15:00,0,324,DAL,AMA
2001-02-18 10:05:00,-5,677,ABQ,LAX
2001-01-03 07:44:00,8,303,MSY,HOU
2001-01-11 08:20:00,-8,842,MDW,PVD
2001-01-14 07:00:00,-10,345,LAS,RNO
2001-02-25 09:20:00,-5,446,OAK,SAN
2001-01-12 08:00:00,-4,998,MSY,BWI
2001-01-09 12:35:00,0,395,BNA,MDW
2001-01-07 16:20:00,-4,395,BNA,MDW
2001-03-16 17:50:00,0,197,TPA,FLL
2001-01-16 17:24:00,-6,229,IND,STL
2001-03-10 08:50:00,-5,189,DAL,AUS
2001-01-09 08:00:00,0,1069,LAS,SAT
2001-01-25 11:15:00,35,180,RNO,OAK
2001-01-23 12:30:00,7,347,ELP,PHX
2001-02-10 06:30:00,0,570,BHM,HOU
2001-01-11 12:40:00,-2,1977,SEA,BNA
2001-01-11 19:50:00,-5,318,JAX,FLL
2001-03-01 19:05:00,-5,197,FLL,TPA
2001-02-02 08:25:00,-10,229,MDW,DTW
2001-03-13 12:33:00,-2,1455,PHX,BHM
2001-03-21 06:40:00,-10,590,SLC,LAX
2001-03-12 16:45:00,-5,1235,LAS,HOU
2001-03-26 18:20:00,19,367,SAN,TUS
2001-03-31 09:30:00,-12,307,MDW,CLE
2001-02-23 22:30:00,-2,370,PHX,LAX
2001-01-03 07:35:00,18,370,LAX,PHX
2001-02-18 18:17:00,19,321,ABQ,TUS
2001-03-27 07:45:00,-5,1455,BHM,PHX
2001-01-24 16:05:00,48,338,CMH,BNA
2001-01-12 23:19:00,162,562,ELP,DAL
2001-01-27 14:55:00,4,288,BWI,ALB
2001-01-17 20:34:00,7,162,MDW,IND
2001-02-14 13:55:00,-3,236,LAS,LAX
2001-02-21 13:55:00,-10,373,LAX,SMF
2001-01-18 06:00:00,9,395,MDW,BNA
2001-01-23 22:00:00,-11,370,LAX,PHX
2001-01-17 21:05:00,-6,197,TPA,FLL
2001-02-23 14:30:00,7,337,LAX,OAK
2001-01-11 15:55:00,5,328,BWI,PVD
2001-03-30 08:45:00,0,1624,LAS,SDF
2001-01-23 22:35:00,-8,304,PHX,SAN
2001-02-21 06:30:00,6,293,LBB,DAL
2001-02-16 22:21:00,82,239,HOU,DAL
2001-01-08 17:40:00,12,178,FLL,MCO
2001-02-16 13:47:00,23,671,SEA,OAK
2001-01-07 13:30:00,9,389,SMF,ONT
2001-01-08 21:15:00,-2,187,HOU,CRP
2001-01-07 10:10:00,4,580,DAL,ABQ
2001-02-05 11:15:00,3,666,MDW,JAN
2001-02-06 06:45:00,-10,550,MSY,MCO
2001-02-18 17:00:00,-13,224,GEG,SEA
2001-02-06 06:50:00,-15,550,MCO,MSY
2001-01-15 20:40:00,-6,276,HRL,HOU
2001-02-09 20:10:00,45,389,SMF,ONT
2001-03-05 08:25:00,-15,621,PHX,SJC
2001-01-01 19:05:00,28,671,SEA,OAK
2001-01-30 13:00:00,23,843,SAT,PHX
2001-02-25 12:00:00,-9,1444,PHX,MDW
2001-02-07 09:00:00,-3,246,MAF,ELP
2001-03-17 16:20:00,28,588,BNA,BWI
2001-03-02 11:20:00,-5,487,MSY,TPA
2001-01-29 16:35:00,-3,325,ONT,PHX
2001-03-09 21:14:00,15,756,BNA,AUS
2001-02-12 14:35:00,-5,237,MCI,STL
2001-03-05 08:25:00,-2,989,MCO,MDW
2001-01-15 18:45:00,6,670,HOU,BNA
2001-02-12 07:00:00,-8,303,MSY,HOU
2001-02-09 08:30:00,10,239,DAL,HOU
2001-01-31 17:00:00,-10,543,PDX,OAK
2001-01-14 18:00:00,-4,239,HOU,DAL
2001-02-02 21:35:00,-5,358,BUR,SMF
2001-01-31 09:05:00,0,296,LIT,DAL
2001-02-13 09:22:00,41,370,LAX,PHX
2001-02-07 11:20:00,5,496,SAT,ELP
2001-02-08 16:19:00,8,341,AUS,LBB
2001-01-21 14:55:00,62,368,SLC,LAS
2001-01-21 10:14:00,0,636,SAN,ELP
2001-01-14 15:35:00,-2,419,HOU,OKC
2001-03-23 17:55:00,4,440,STL,DTW
2001-02-24 10:20:00,0,187,HOU,CRP
2001-02-13 21:47:00,67,189,AUS,DAL
2001-01-05 21:52:00,21,256,LAS,PHX
2001-02-02 21:10:00,-7,666,MCI,HOU
2001-03-22 07:05:00,-5,142,PBI,MCO
2001-02-10 18:10:00,0,108,PVD,ISP
2001-02-15 00:10:00,115,550,MSY,MCO
2001-02-23 20:05:00,-8,588,BWI,BNA
2001-02-17 14:35:00,-10,682,BHM,BWI
2001-02-14 07:35:00,-10,271,MDW,SDF
2001-03-15 08:20:00,-25,1363,MCI,LAX
2001-02-06 07:10:00,9,2277,PVD,PHX
2001-01-02 14:10:00,35,273,HRL,AUS
2001-03-28 15:20:00,-3,377,BWI,MHT
2001-01-29 12:05:00,0,373,SMF,LAX
2001-03-26 06:30:00,10,288,ALB,BWI
2001-01-05 17:05:00,-3,217,IAH,DAL
2001-01-11 06:45:00,3,314,BWI,CLE
2001-03-14 13:35:00,5,407,LAS,OAK
2001-01-26 16:12:00,0,580,ABQ,DAL
2001-03-19 13:55:00,-5,332,ABQ,MAF
2001-03-19 13:18:00,5,344,PDX,BOI
2001-02-23 07:00:00,-7,258,LAS,SAN
2001-02-07 15:30:00,-1,220,ISP,BWI
2001-02-23 18:45:00,50,397,LAS,SMF
2001-03-27 13:05:00,-6,328,ABQ,PHX
2001-01-21 08:30:00,-1,304,SAN,PHX
2001-02-15 20:40:00,16,1048,MCI,TPA
2001-02-21 07:20:00,0,108,ISP,PVD
2001-02-22 11:30:00,2,342,STL,OMA
2001-03-12 09:10:00,12,303,MSY,HOU
2001-03-05 18:20:00,-6,248,DAL,SAT
2001-02-02 12:10:00,-2,325,OAK,BUR
2001-03-16 13:45:00,7,361,ONT,OAK
2001-01-19 17:33:00,23,248,DAL,SAT
2001-02-27 15:11:00,15,197,ONT,LAS
2001-01-01 18:52:00,13,611,MDW,BWI
2001-01-05 10:05:00,-4,197,TPA,FLL
2001-01-02 17:30:00,15,377,MHT,BWI
2001-02-09 16:15:00,76,407,LAS,OAK
2001-03-14 19:50:00,0,1363,MCI,LAX
2001-01-15 08:12:00,5,972,ISP,MCO
2001-01-09 18:27:00,52,256,LAS,PHX
2001-03-12 08:45:00,3,737,STL,BWI
2001-01-22 07:15:00,-4,284,CMH,MDW
2001-03-30 11:35:00,8,471,MSY,BNA
2001-03-01 17:40:00,-8,281,BUF,BWI
2001-03-28 07:25:00,13,1489,OAK,MCI
2001-03-15 18:03:00,35,370,LAX,PHX
2001-02-28 13:05:00,-6,632,MDW,RDU
2001-01-08 18:38:00,60,255,RDU,BWI
2001-03-09 16:25:00,-7,714,ELP,LAX
2001-02-26 20:35:00,-12,296,BUR,SJC
2001-02-07 13:10:00,1,677,ELP,HOU
2001-02-13 17:25:00,10,313,OKC,MCI
2001-02-08 19:25:00,-5,308,LAX,SJC
2001-03-13 06:30:00,-5,303,MSY,HOU
2001-03-19 08:00:00,21,989,MDW,MCO
2001-02-16 21:40:00,74,342,SNA,SJC
2001-01-28 19:55:00,-5,333,SJC,ONT
2001-03-20 13:30:00,3,273,HRL,AUS
2001-03-02 21:20:00,70,605,SMF,SEA
