YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,CANCELLED,CANCELLATION_REASON,IATA_Code,Airport_Name,City,State
2015,1,1,4,AS,ANC,SEA,135,100,1448,,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,2,5,DL,LAX,SEA,845,34,954,,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,2,5,OO,PSP,SEA,1120,28,987,20,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,2,5,OO,SJC,SEA,1745,36,697,3,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,3,6,OO,GEG,SEA,610,20,224,14,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,3,6,OO,LGB,SEA,1755,35,965,12,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,3,6,AS,JNU,SEA,2010,100,909,20,1,Weather Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,4,7,OO,SFO,SEA,1300,41,679,1,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,5,1,OO,PDX,SEA,1725,32,129,21,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,7,3,OO,ONT,SEA,1720,38,956,48,1,Weather Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,7,3,OO,GEG,SEA,1900,35,224,121,1,Weather Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,7,3,AS,JNU,SEA,2010,34,909,0,1,Weather Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,8,4,AS,SJC,SEA,1000,100,697,25,1,Carrier Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,1,4,OO,PDX,SEA,835,17,129,12,0,Late Aircraft Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,1,4,OO,DEN,SEA,839,33,1024,1,0,Late Aircraft Delay,SEA,SEATTLE TACOMA INTERNATIONAL,Seattle,Washington
2015,1,3,6,AA,OMA,DFW,850,16,583,23,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,HOU,DFW,855,41,247,8,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,AA,CLT,DFW,1035,45,936,12,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,AA,BNA,DFW,1120,28,631,13,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,NK,LAS,DFW,1120,39,1055,0,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,CID,DFW,1125,100,685,26,1,Weather Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,LFT,DFW,1245,41,351,0,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,CRP,DFW,1250,44,354,9,1,Weather Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,CID,DFW,1400,100,685,14,1,Weather Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,AMA,DFW,1425,42,312,65,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,FSM,DFW,1430,17,227,4,1,Weather Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,GRK,DFW,1555,31,134,16,1,Weather Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,MSN,DFW,1720,25,821,9,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,GGG,DFW,1750,19,140,154,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,ABI,DFW,1750,41,158,13,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,EV,LFT,DFW,1755,100,351,31,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,ROW,DFW,1755,31,435,7,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,AA,OGG,DFW,1805,21,3711,171,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,AA,TUL,DFW,1810,19,237,13,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,PNS,DFW,1855,100,604,4,1,Weather Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,OKC,DFW,1935,100,175,44,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,GRK,DFW,1945,100,134,37,1,Weather Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,CVG,DFW,1950,100,812,22,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,3,6,MQ,AMA,DFW,2005,100,312,1,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,4,7,MQ,CHS,DFW,545,42,987,63,1,Carrier Delay,DFW,DALLAS FORT WORTH INTERNATIONAL,Dallas-Fort Worth,Texas
2015,1,1,4,OO,CMX,ORD,600,30,359,21,1,Weather Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,MQ,ELP,ORD,655,20,1236,95,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,AA,DFW,ORD,740,29,802,3,1,Weather Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,MQ,ROC,ORD,845,40,528,20,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,MQ,TOL,ORD,900,35,213,25,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,AA,DFW,ORD,945,17,802,8,1,Weather Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,MQ,CMH,ORD,1020,33,296,18,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,OO,CVG,ORD,1022,20,265,17,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,MQ,CVG,ORD,1030,22,265,77,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,AA,DFW,ORD,1145,28,802,2,1,Weather Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,AA,EGE,ORD,1415,40,1007,10,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,OO,MKE,ORD,1430,22,67,13,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,1,4,MQ,CID,ORD,1505,42,196,10,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,2,5,AA,SFO,ORD,1030,35,1846,3,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,2,5,AA,DFW,ORD,1050,16,802,6,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,2,5,MQ,CVG,ORD,1145,33,265,9,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,2,5,MQ,MEM,ORD,1455,20,491,24,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,2,5,AA,DFW,ORD,1855,25,802,11,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,2,5,MQ,LIT,ORD,1950,39,552,32,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,2,5,AA,MSP,ORD,1955,40,334,3,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,3,6,MQ,TOL,ORD,700,22,213,12,1,Carrier Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,3,6,MQ,HPN,ORD,700,43,738,14,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,3,6,MQ,MLI,ORD,725,20,139,16,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,MLI,ORD,939,16,139,25,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,HPN,ORD,1025,29,738,0,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,EV,MEM,ORD,1034,35,491,4,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,LIT,ORD,1044,23,552,17,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,FWA,ORD,1057,35,157,10,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,DSM,ORD,1100,20,299,14,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,RIC,ORD,1106,40,642,2,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,SGF,ORD,1130,20,438,0,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,CMH,ORD,1133,27,296,65,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,LEX,ORD,1151,34,323,4,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,CMI,ORD,1154,32,135,38,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,CHA,ORD,1204,37,501,3,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,MQ,OMA,ORD,1210,38,416,9,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
2015,1,8,4,EV,CLT,ORD,1220,34,599,12,1,National Air System Delay,ORD,CHICAGO OHARE INTERNATIONAL,Chicago,Illinois
