origin,flights,mean_delay,median_delay,delayed_over_30_rate
SFO,28,15.785714285714286,-2.5,0.21428571428571427
SJC,267,15.47940074906367,5.0,0.1760299625468165
BHM,86,14.267441860465116,0.0,0.18604651162790697
IND,65,13.215384615384615,2.0,0.13846153846153847
LAX,421,12.47268408551069,4.0,0.17814726840855108
SAN,322,12.322981366459627,3.0,0.17080745341614906
SMF,212,10.882075471698114,1.5,0.16037735849056603
LAS,634,10.864353312302839,3.0,0.14511041009463724
BUR,177,10.559322033898304,2.0,0.12429378531073447
OAK,452,10.420353982300885,2.0,0.1415929203539823
PHX,642,10.161993769470405,1.5,0.13551401869158877
BWI,455,9.575824175824176,2.0,0.12087912087912088
ONT,204,9.446078431372548,1.5,0.12254901960784313
RNO,132,9.356060606060606,0.0,0.13636363636363635
HOU,521,9.241842610364683,0.0,0.1324376199616123
FLL,131,8.725190839694656,0.0,0.12213740458015267
SEA,138,8.666666666666666,0.0,0.11594202898550725
CLE,85,8.447058823529412,0.0,0.11764705882352941
SLC,151,7.993377483443709,-2.0,0.11920529801324503
RDU,71,7.802816901408451,-1.0,0.09859154929577464
HRL,43,7.744186046511628,0.0,0.11627906976744186
ABQ,213,7.070422535211268,0.0,0.10328638497652583
DAL,497,7.028169014084507,0.0,0.08853118712273642
MSY,236,7.008474576271187,0.0,0.08898305084745763
STL,294,6.993197278911564,0.0,0.11224489795918367
PBI,45,6.977777777777778,3.0,0.06666666666666667
MAF,57,6.859649122807017,0.0,0.05263157894736842
MHT,62,6.82258064516129,-1.5,0.11290322580645161
MDW,448,6.689732142857143,0.0,0.09598214285714286
AUS,185,6.275675675675676,0.0,0.10810810810810811
PDX,117,6.162393162393163,0.0,0.09401709401709402
OMA,46,6.1521739130434785,4.5,0.08695652173913043
MCI,296,6.0,0.0,0.10135135135135136
BDL,56,5.964285714285714,1.0,0.08928571428571429
ELP,146,5.397260273972603,0.0,0.0821917808219178
SAT,185,5.34054054054054,-2.0,0.07027027027027027
TPA,201,5.323383084577115,0.0,0.07960199004975124
BNA,308,5.246753246753247,0.0,0.08441558441558442
DTW,68,5.029411764705882,-1.0,0.07352941176470588
AMA,35,4.828571428571428,0.0,0.11428571428571428
SNA,58,4.741379310344827,0.0,0.06896551724137931
TUS,41,4.682926829268292,2.0,0.12195121951219512
OKC,79,4.151898734177215,-3.0,0.08860759493670886
GEG,62,3.8870967741935485,-1.0,0.0967741935483871
SDF,97,3.7938144329896906,-1.0,0.05154639175257732
TUL,87,3.528735632183908,0.0,0.06896551724137931
PVD,116,3.2844827586206895,0.0,0.05172413793103448
CMH,40,2.975,0.0,0.075
ISP,76,2.960526315789474,-0.5,0.06578947368421052
MCO,205,2.5951219512195123,0.0,0.06829268292682927
JAX,74,2.27027027027027,0.0,0.06756756756756757
LBB,56,1.9642857142857142,-1.0,0.07142857142857142
CRP,36,1.6111111111111112,-2.0,0.027777777777777776
LIT,49,1.3265306122448979,-1.0,0.061224489795918366
BOI,62,1.1129032258064515,-3.0,0.03225806451612903
ALB,35,0.5714285714285714,-7.0,0.05714285714285714
IAH,20,0.5,-1.0,0.0
JAN,43,-0.37209302325581395,-3.0,0.046511627906976744
BUF,32,-3.65625,-6.0,0.0625
